No.	时间（s）	Dev1/ai0-1-测振（mm/s）	VH01-V1-Dev1/ai0一次积分（μm）
266	0.265	1.23539928165296	-37.8244239992754
267	0.266	1.29790632889612	-36.5577711940009
268	0.267	1.376040137995	-35.2207979605553
269	0.268	1.48542747081751	-33.7900641561491
270	0.269	1.46980070897971	-32.3124500662505
271	0.27	1.50105423265733	-30.8270225954319
272	0.271	1.56356128003666	-29.2947148390849
273	0.272	1.57918804188653	-27.7233401781233
274	0.273	1.57918804188653	-26.1441521362368
275	0.274	1.5948148037384	-24.5571507134244
276	0.275	1.61044156559229	-22.954522528759
277	0.276	1.61044156559229	-21.3440809631667
278	0.277	1.56356128003666	-19.7570795403522
279	0.278	1.57918804188653	-18.1857048793906
280	0.279	1.48542747081751	-16.6533971230386
281	0.28	1.48542747081751	-15.1679696522211
282	0.281	1.43854718531012	-13.7059823241573
283	0.282	1.376040137995	-12.2986886625047
284	0.283	1.36041337617122	-10.9304619054216
285	0.284	1.25102604346076	-9.62474219560562
286	0.285	1.20414575804334	-8.39715629485357
287	0.286	1.11038518726226	-7.23989082220077
288	0.287	1.07913166368446	-6.14513239672741
289	0.288	1.03225137833264	-5.08944087571887
290	0.289	0.92286404591436	-4.11188316359537
291	0.29	0.84473023710343	-3.22808602208647
292	0.291	0.829103475347159	-2.39116916586118
293	0.292	0.735342904850861	-1.60894597576217
294	0.293	0.672835857892623	-0.904856594390429
295	0.294	0.625955572694532	-0.255460879096852
296	0.295	0.563448525791149	0.339241170145989
297	0.296	0.469687955494679	0.855809410788902
298	0.297	0.375927385268361	1.27861708117042
299	0.298	0.329047100181448	1.63110432389533
300	0.299	0.297793576799876	1.94452466238599
301	0.3	0.157152721678665	2.17199781162526
302	0.301	0.125899198339654	2.31352377163442
303	0.302	-0.0147416565905263	2.36910254250898
304	0.303	-0.0616219415326508	2.33092074344739
305	0.304	-0.186636034627333	2.2067917553674
306	0.305	-0.296023365984859	1.96546205506131
307	0.306	-0.374157174040234	1.63037178504876
308	0.307	-0.467917743644006	1.20933432620664
309	0.308	-0.499171266830099	0.725789820969588
310	0.309	-0.671065644218502	0.140671365445287
311	0.31	-0.749199452046952	-0.56946118268744
312	0.311	-0.811706498275905	-1.34991415784887
313	0.312	-0.921093829104449	-2.21631432153905
314	0.313	-0.999227636783067	-3.1764750544828
315	0.314	-1.1086149674549	-4.23039635660179
316	0.315	-1.17112201351221	-5.37026484708534
317	0.316	-1.24925582104216	-6.58045376436253
318	0.317	-1.32738962852589	-7.86877648914655
319	0.318	-1.40552343596351	-9.23523302139125
320	0.319	-1.43677695892567	-10.6563832188358
321	0.32	-1.452403720404	-12.1009735585007
322	0.321	-1.49928400482795	-13.5768174211167
323	0.322	-1.57741781216454	-15.1151683296129
324	0.323	-1.49928400482795	-16.6535192381091
325	0.324	-1.57741781216454	-18.1918701466054
326	0.325	-1.59304457362636	-19.7771013395008
327	0.326	-1.56179105070088	-21.3545191516645
328	0.327	-1.56179105070088	-22.9163102023653
329	0.328	-1.51491076629893	-24.4546611108652
330	0.329	-1.46803048188049	-25.946131734955
331	0.33	-1.49928400482795	-27.4297889783092
332	0.331	-1.43677695892567	-28.897819460186
333	0.332	-1.42115019744551	-30.3267830383716
334	0.333	-1.3430163900171	-31.7088663321029
335	0.334	-1.31176286703284	-33.0362559606278
336	0.335	-1.18674877502191	-34.2855117816552
337	0.336	-1.15549525200067	-35.4566337951665
338	0.337	-1.1086149674549	-36.5886889048943
339	0.338	-1.04610792136787	-37.6660503493057
340	0.339	-1.0148543983132	-38.6965315091462
341	0.34	-0.936720590643905	-39.6723190036248
342	0.341	-0.811706498275905	-40.5465325480847
343	0.342	-0.764826213607005	-41.3347989040261
344	0.343	-0.717945928921212	-42.0761849752902
345	0.344	-0.62418535949885	-42.7472506195003
346	0.345	-0.561678313179585	-43.3401824558395
347	0.346	-0.467917743644006	-43.8549804842513
348	0.347	-0.436664220450335	-44.3072714662984
349	0.348	-0.296023365984859	-44.673615259516
350	0.349	-0.264769842749386	-44.9540118638832
351	0.35	-0.171009272997194	-45.1719014217564
352	0.351	-0.0616219415326508	-45.2882170290214
353	0.352	0.000885105060688461	-45.3185854472573
354	0.353	0.0946456750083588	-45.2708200572228
355	0.354	0.250913291742057	-45.0980405738476
356	0.355	0.344673861875144	-44.800246997039
357	0.356	0.422807670372763	-44.4165062309151
358	0.357	0.469687955494679	-43.9702584179813
359	0.358	0.625955572694532	-43.4224366538867
360	0.359	0.704089381367817	-42.7574141768556
361	0.36	0.797849951840524	-42.0064445102514
362	0.361	0.84473023710343	-41.1851544157794
363	0.362	0.969744331224611	-40.2779171316154
364	0.363	1.06350490189853	-39.2612925150538
365	0.364	1.20414575804334	-38.1274671850829
366	0.365	1.18851899624152	-36.9311348079405
367	0.366	1.32915985252967	-35.6722953835549
368	0.367	1.40729366164856	-34.3040686264657
369	0.368	1.46980070897971	-32.8655214411516
370	0.369	1.46980070897971	-31.3957207321719
371	0.37	1.53230775634297	-29.8946664995106
372	0.371	1.50105423265733	-28.3779855050104
373	0.372	1.56356128003666	-26.8456777486634
374	0.373	1.56356128003666	-25.2821164686268
375	0.374	1.57918804188653	-23.7107418076652
376	0.375	1.5948148037384	-22.1237403848527
377	0.376	1.5948148037384	-20.5289255811143
378	0.377	1.57918804188653	-18.9419241583018
379	0.378	1.51668099449914	-17.393989640109
380	0.379	1.48542747081751	-15.8929354074507
381	0.38	1.42292042347834	-14.4387614603027
382	0.381	1.42292042347834	-13.0158410368244
383	0.382	1.376040137995	-11.6163607560877
384	0.383	1.29790632889612	-10.2793875226422
385	0.384	1.26665280527055	-8.99710795555883
386	0.385	1.15726547264385	-7.78514881660163
387	0.386	1.09475842547236	-6.65913686754352
388	0.387	1.06350490189853	-5.58000520385807
389	0.388	1.01662461655266	-4.53994044463247
390	0.389	0.92286404591436	-3.57019611339896
391	0.39	0.875983760621884	-2.67077221013084
392	0.391	0.813476713592857	-1.82604197302347
393	0.392	0.750969666595328	-1.04381878292938
394	0.393	0.657209096157966	-0.339729401552729
395	0.394	0.594702049238928	0.286226171145718
396	0.395	0.563448525791149	0.865301458660757
397	0.396	0.469687955494679	1.38186969930367
398	0.397	0.438434432078121	1.83593089309007
399	0.398	0.344673861875144	2.2274850400667
400	0.399	0.250913291742057	2.5252786168753
401	0.4	0.157152721678665	2.72931162358566
402	0.401	0.0633921516847708	2.83958406026738
403	0.402	-0.0147416565905263	2.8639093078145
404	0.403	-0.0616219415326508	2.82572750875292
405	0.404	-0.186636034627333	2.70159852067292
406	0.405	-0.233516319506289	2.49152234360611
407	0.406	-0.358530412432962	2.19549897763649
408	0.407	-0.467917743644006	1.782274899598
409	0.408	-0.561678313179585	1.26747687118621
410	0.409	-0.655438882647168	0.658918273272832
411	0.41	-0.749199452046952	-0.0434008940742283
412	0.411	-0.87421354447487	-0.855107392335139
413	0.412	-0.905467067563125	-1.74494769835414
414	0.413	-0.999227636783067	-2.69729505052723
415	0.414	-1.09298820593593	-3.74340297188673
416	0.415	-1.18674877502191	-4.88327146236565
417	0.416	-1.24925582104216	-6.10127376039768
418	0.417	-1.3430163900171	-7.39740986592731
419	0.418	-1.37426991299399	-8.75605301743285
420	0.419	-1.43677695892567	-10.1615764533927
421	0.42	-1.46803048188049	-11.6139801737958
422	0.421	-1.48365724335514	-13.0898240364136
423	0.422	-1.56179105070088	-14.6125481834416
424	0.423	-1.60867133508635	-16.1977793763352
425	0.424	-1.57741781216454	-17.7908239499607
426	0.425	-1.56179105070088	-19.3604283813934
427	0.426	-1.57741781216454	-20.9300328128261
428	0.427	-1.59304457362636	-22.5152640057215
429	0.428	-1.5461642892354	-24.0848684371524
430	0.429	-1.49928400482795	-25.6075925841841
431	0.43	-1.49928400482795	-27.106876589012
432	0.431	-1.37426991299399	-28.543653547923
433	0.432	-1.40552343596351	-29.9335502224017
434	0.433	-1.37426991299399	-31.3234468968805
435	0.434	-1.28050934404119	-32.6508365253981
436	0.435	-1.21800229803574	-33.9000923464365
437	0.436	-1.12424172897201	-35.0712143599404
438	0.437	-1.1086149674549	-36.1876427081539
439	0.438	-1.0148543983132	-37.2493773910379
440	0.439	-0.967974113717216	-38.2407916470531
441	0.44	-0.921093829104449	-39.185325618464
442	0.441	-0.79607973672148	-40.0439124013769
443	0.442	-0.780452975165181	-40.8321787573202
444	0.443	-0.702319167355523	-41.5735648285806
